emp_id,first_name,last_name,age,birth_date,join_date,salary,manager,department
M42,Tor,Rvukpq,57,1966-09-14,2020-02-23,66932,Mgnm,Operations
J43,Ihg,Iyu,44,1979-04-04,2021-08-08,16135,Nkhum,Product Management
S44,Sorf,Udku,25,1998-11-22,2019-10-17,68733,Sivgvo,Operations
P45,Jvgppf,Fvzr,49,1974-03-06,2022-05-11,74818,Vjkguu,It
A46,Jhwvba,Hrdqt,57,1966-10-12,2014-12-10,49278,Dahrv,Product Management
P47,Inlsbg,Xasyk,31,1992-10-23,2014-02-27,70097,Hxhhf,Legal
A48,Mfdeen,Gpr,49,1974-10-09,2015-09-09,78673,Tjl,Human Resources
R49,Tah,Dpgy,51,1972-07-27,2003-11-27,90175,Zbgdn,Research And Development
U50,Etrjn,Dopydt,29,1994-02-16,2023-05-02,76216,Zpsykp,Research And Development
F51,Irddzx,Rbfoc,57,1966-10-25,2011-01-09,84518,Lqh,Operations
N52,Twffz,Vvqy,23,2000-12-02,2023-09-14,54590,Mqbea,Product Management
V53,Agdlen,Qtvch,44,1979-02-12,2003-10-11,30394,Zdrr,Legal
P54,Tqtqo,Qgq,22,2001-03-01,2023-06-19,70694,Dvqr,It
O55,Gkgyyy,Stbnq,21,2002-12-31,2023-10-27,37177,Fkd,It
Y56,Dhoq,Wyc,47,1976-06-16,2017-06-28,92724,Gnv,Human Resources
D57,Ooa,Wxei,44,1979-03-06,2003-07-12,25899,Flp,Marketing
K58,Ixq,Bbys,44,1979-09-16,2012-09-01,50955,Trw,Operations
V59,Hynn,Jff,55,1968-11-13,1998-04-19,73901,Aqumm,Research And Development
Y60,Utxu,Oget,33,1990-10-02,2013-03-24,38312,Lqunq,Marketing
S61,Psxkjd,Ltvfi,40,1983-06-20,2022-10-23,22924,Lbtscj,Operations
J62,Oes,Xmeug,43,1980-07-02,2019-12-25,79526,Mgkzv,Finance
U63,Dyeuz,Jqzz,55,1968-01-05,2007-08-09,39482,Qghywa,Marketing
P64,Zpcxaw,Ylz,50,1973-07-29,2011-01-03,94902,Nnm,Legal
B65,Scc,Fkv,40,1983-03-12,2005-07-21,61519,Aclg,Finance
Q66,Lngq,Ymwugi,30,1993-08-16,2020-07-15,65018,Rpqaf,Operations
Z67,Akt,Iwup,39,1984-05-09,2011-11-01,92066,Wsikpz,It
W68,Augmp,Zvmpf,31,1992-09-26,2017-02-06,86904,Okdpcn,Marketing
N69,Ovqeh,Mgki,47,1976-04-17,1997-09-22,36445,Tdqx,Research And Development
C70,Osd,Gbq,57,1966-03-14,2017-01-01,78146,Eizoyb,Legal
E71,Edvr,Ixjudw,39,1984-01-18,2006-06-12,35651,Ygigyx,Sales
I72,Yalj,Jeghn,28,1995-08-04,2021-05-13,83061,Huw,Operations
R73,Frekgh,Xoifya,37,1986-04-01,2013-06-26,54978,Mnx,It
F74,Sul,Wsa,29,1994-01-05,2021-04-08,27893,Butcp,Research And Development
Y75,Xny,Ylwd,60,1963-01-26,2010-06-22,89470,Myffih,Sales
R76,Wlnzlb,Lbc,51,1972-01-31,1993-01-06,31597,Jmyhl,Human Resources
L77,Agdsj,Ava,51,1972-03-27,1998-09-09,37851,Bcf,Sales
H78,Jsumh,Rnj,37,1986-07-07,2008-08-12,79774,Bss,Human Resources
K79,Anub,Tcrd,29,1994-02-25,2018-11-09,13211,Sgj,Research And Development
G80,Hakgr,Fade,46,1977-10-27,2008-01-05,80808,Keukl,Research And Development
A81,Usrj,Fih,47,1976-04-16,2017-03-24,43256,Qru,Research And Development
J82,Gczwjx,Vry,40,1983-02-06,2014-05-26,88987,Yynvgs,Operations
U83,Wzo,Dsckot,35,1988-09-14,2016-07-10,51793,Qkcgo,Finance
R84,Nwc,Oihjkp,45,1978-07-11,2001-06-10,34621,Lqjh,Finance
Q85,Fogi,Vvm,53,1970-09-23,1998-11-09,16454,Rznz,Legal
N86,Qqt,Nahhh,59,1964-02-22,2010-03-08,27263,Vsuubh,Finance
V87,Lzkn,Czt,33,1990-06-11,2011-02-24,27705,Zpab,Sales
P88,Enys,Zuiye,55,1968-08-22,1999-08-19,55887,Wmcxxx,Marketing
W89,Omx,Woozv,36,1987-12-14,2012-03-13,30257,Mfg,Human Resources
Y90,Iiiahx,Hgo,40,1983-01-14,2015-11-02,51544,Ivvwqz,Research And Development
A91,Djq,Uqslwt,27,1996-07-13,2021-12-03,25332,Oxytv,Product Management
K92,Zmylg,Iyi,58,1965-04-16,2018-10-20,61127,Xbmag,Legal
W93,Utwts,Hecoba,32,1991-05-15,2022-11-25,22502,Hzv,Finance
V94,Hbio,Pkaf,31,1992-03-22,2013-01-21,79401,Kacue,It
R95,Ukouly,Jey,26,1997-05-22,2021-10-13,53097,Idu,Legal
V96,Jfnnnd,Rdvqmr,57,1966-02-02,2014-06-18,74601,Dmjx,Operations
I97,Hen,Diluxd,44,1979-04-14,2022-03-04,33929,Uswn,Research And Development
D98,Dvmt,Oqbmz,58,1965-04-05,2000-05-13,69974,Nhppo,Human Resources
C99,Vsct,Mtkl,55,1968-10-01,2000-10-05,91499,Ywlncy,Customer Service
I100,Iilni,Amrz,42,1981-05-15,2020-01-30,98767,Qbho,Research And Development
